# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
892,8.4551,0.5000,0.3288,0.5000,0.4129
894,8.4739,0.5000,0.3288,0.5000,0.4013
896,8.4927,0.5000,0.3288,0.5000,0.4013
898,8.5115,0.4803,0.3288,0.5000,0.4013
900,8.5304,0.5000,0.3288,0.5000,0.3500
902,8.5492,0.5000,0.3288,0.5000,0.4178
904,8.568,0.4803,0.3288,0.5000,0.4013
906,8.5868,0.5000,0.3288,0.5000,0.4013
908,8.6056,0.5000,0.3288,0.5000,0.4178
910,8.6245,0.4803,0.3288,0.4803,0.4178
912,8.6433,0.5000,0.3288,0.5000,0.4178
914,8.6621,0.5000,0.3288,0.5000,0.4178
916,8.6809,0.5000,0.3288,0.5000,0.4013
918,8.6997,0.5000,0.3288,0.5000,0.4178
920,8.7186,0.5000,0.3288,0.5000,0.4178
922,8.7374,0.5000,0.3288,0.5000,0.4013
924,8.7562,0.5000,0.3288,0.5000,0.4178
